"Category","Occurrence","Action item","Subject","Group","Description","Documentation references","Recommended action","Filtered","Estimated complexity","Line","Position","Source","Target","Server IP address and port","Database name","Schema name"
"view","Schemas.CO.Views.PRODUCT_REVIEWS","9996","Transformer error occurred in plSqlStatement","Internal Converter error occurred","Transformer error occurred in plSqlStatement","","Please submit report to developers.","","Complex","1","0","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"trigger","Schemas.HR.Tables.EMPLOYEES.Triggers.SECURE_EMPLOYEES$(HR)","5326","","PostgreSQL doesn't support status definitions in CREATE statements for triggers and constraints","PostgreSQL doesn't support status definitions in CREATE statements for triggers and constraints","http://www.postgresql.org/docs/current/static/sql-createtable.html","Revise your code to turn off the trigger or drop the constraint manually and try again.","","Simple","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"trigger","Schemas.HR.Tables.EMPLOYEES.Triggers.UPDATE_JOB_HISTORY$(HR)","5584","STANDARD.SYSDATE()","Review the converted function","The STANDARD.SYSDATE() function depends on the time zone settings","http://www.postgresql.org/docs/current/static/functions-datetime.html","Review the converted code and set the time zone manually where necessary.","","Simple","2","58","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"trigger","Schemas.HR.Tables.EMPLOYEES.Triggers.SECURE_EMPLOYEES$(HR)","5340","HR.SECURE_DML()","DMS SC can't convert functions","PostgreSQL doesn't support the HR.SECURE_DML() function","","Revise your code to use another function or create a user-defined function.","","Complex","2","8","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"trigger","Schemas.HR.Tables.EMPLOYEES.Triggers.UPDATE_JOB_HISTORY$(HR)","5340","HR.ADD_JOB_HISTORY(NUMBER,DATE,DATE,VARCHAR2,NUMBER)","DMS SC can't convert functions","PostgreSQL doesn't support the HR.ADD_JOB_HISTORY(NUMBER,DATE,DATE,VARCHAR2,NUMBER) function","","Revise your code to use another function or create a user-defined function.","","Complex","2","8","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.HR.Tables.COUNTRIES.Columns.REGION_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.HR.Tables.REGIONS.Columns.REGION_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.HR.Tables.TIME_RANGE_SALES.Columns.CUST_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.HR.Tables.COUNTRIES","5581","","PostgreSQL doesn't support index-organized tables","PostgreSQL doesn't support index-organized tables","","Revise your code to use a custom solution for the table type and try again.","","Simple","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.CUSTOMERS.Columns.CUSTOMER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.INVENTORY.Columns.INVENTORY_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.INVENTORY.Columns.PRODUCT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.INVENTORY.Columns.PRODUCT_INVENTORY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.INVENTORY.Columns.STORE_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.ORDERS.Columns.CUSTOMER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.ORDERS.Columns.ORDER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.ORDERS.Columns.STORE_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.ORDER_ITEMS.Columns.LINE_ITEM_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.ORDER_ITEMS.Columns.ORDER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.ORDER_ITEMS.Columns.PRODUCT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.ORDER_ITEMS.Columns.QUANTITY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.ORDER_ITEMS.Columns.SHIPMENT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.PRODUCTS.Columns.PRODUCT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.SHIPMENTS.Columns.CUSTOMER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.SHIPMENTS.Columns.SHIPMENT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.SHIPMENTS.Columns.STORE_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
"table","Schemas.CO.Tables.STORES.Columns.STORE_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","Oracle_bosdbdev","Postgresql_bosdbdev","3.110.153.195:1521","bosdbdev","HR"
